MONTH_MON,YEAR,APT_NAME,STATE_NAME,FLT_TOT_1
APR,2016,Aberdeen,United Kingdom,5045
APR,2016,Aktion,Greece,156
APR,2016,Amsterdam - Schiphol,Netherlands,40867
APR,2016,Athens,Greece,14149
APR,2016,Belfast - Aldergrove,United Kingdom,3665
APR,2016,Belfast - City Airport,United Kingdom,3673
APR,2016,Bergen,Norway,7567
APR,2016,Biggin Hill,United Kingdom,971
APR,2016,Birmingham,United Kingdom,8588
APR,2016,Bristol,United Kingdom,5285
APR,2016,Bydgoszcz,Poland,273
APR,2016,Connaught,Ireland,572
APR,2016,Corfu,Greece,809
APR,2016,Cork,Ireland,1933
APR,2016,Donegal,Ireland,154
APR,2016,Dublin,Ireland,17542
APR,2016,East Midlands,United Kingdom,5492
APR,2016,Edinburgh,United Kingdom,10078
APR,2016,Farnborough,United Kingdom,1765
APR,2016,Gdansk,Poland,2982
APR,2016,Glasgow,United Kingdom,7358
APR,2016,Groningen,Netherlands,725
APR,2016,Göteborg,Sweden,6139
APR,2016,Haugesund,Norway,646
APR,2016,Helsinki - Vantaa,Finland,14133
APR,2016,Heraklion,Greece,2589
APR,2016,Katowice - Pyrzowice,Poland,1811
APR,2016,Kefallinia,Greece,168
APR,2016,Kerry - Farranfore,Ireland,329
APR,2016,Khania - Souda,Greece,1634
APR,2016,Kiev - Boryspil,Ukraine,5499
APR,2016,Kos,Greece,569
APR,2016,Krakow - Balice,Poland,3877
APR,2016,Lodz - Lublinek,Poland,384
APR,2016,London - City,United Kingdom,7003
APR,2016,London - Gatwick,United Kingdom,22493
APR,2016,London - Heathrow,United Kingdom,39666
APR,2016,London - Luton,United Kingdom,10617
APR,2016,London - Stansted,United Kingdom,14493
APR,2016,Londonderry - Eglinton,United Kingdom,169
APR,2016,Lublin,Poland,303
APR,2016,Maastricht-Aachen,Netherlands,803
APR,2016,Manchester,United Kingdom,14939
APR,2016,Mikonos,Greece,297
APR,2016,Olsztyn-Mazury,Poland,82
APR,2016,Oslo - Gardermoen,Norway,21019
APR,2016,Poznan - Lawica,Poland,1388
APR,2016,Radom,Poland,75
APR,2016,Rodos,Greece,1763
APR,2016,Rotterdam,Netherlands,2210
APR,2016,Rzeszow - Jasionka,Poland,660
APR,2016,Santorini,Greece,675
APR,2016,Shannon,Ireland,1710
APR,2016,Skiathos,Greece,65
APR,2016,Sligo,Ireland,5
APR,2016,Southampton,United Kingdom,3099
APR,2016,Stavanger,Norway,5944
APR,2016,Stockholm - Arlanda,Sweden,20172
APR,2016,Stockholm - Bromma,Sweden,4839
APR,2016,Szczecin - Goleniów,Poland,447
APR,2016,Thessaloniki,Greece,3815
APR,2016,Trondheim,Norway,4963
APR,2016,Warszawa - Chopina,Poland,12256
APR,2016,Warszawa - Modlin,Poland,1617
APR,2016,Waterford,Ireland,169
APR,2016,Weston,Ireland,116
APR,2016,Wroclaw - Strachowice,Poland,1902
APR,2016,Yerevan,Armenia,1237
APR,2016,Zakinthos,Greece,192
APR,2016,Zielona Gora - Babimost,Poland,73
APR,2017,Aberdeen,United Kingdom,4822
APR,2017,Aktion,Greece,155
APR,2017,Amsterdam - Schiphol,Netherlands,42852
APR,2017,Athens,Greece,14366
APR,2017,Belfast - Aldergrove,United Kingdom,3987
APR,2017,Belfast - City Airport,United Kingdom,3154
APR,2017,Bergen,Norway,6470
APR,2017,Biggin Hill,United Kingdom,1106
APR,2017,Birmingham,United Kingdom,9562
APR,2017,Bristol,United Kingdom,5464
APR,2017,Bydgoszcz,Poland,274
APR,2017,Connaught,Ireland,590
APR,2017,Corfu,Greece,830
APR,2017,Cork,Ireland,1938
APR,2017,Donegal,Ireland,170
APR,2017,Dublin,Ireland,18207
APR,2017,East Midlands,United Kingdom,5261
APR,2017,Edinburgh,United Kingdom,10774
APR,2017,Farnborough,United Kingdom,1833
APR,2017,Gdansk,Poland,3207
APR,2017,Glasgow,United Kingdom,7493
APR,2017,Groningen,Netherlands,880
APR,2017,Göteborg,Sweden,5816
APR,2017,Haugesund,Norway,445
APR,2017,Helsinki - Vantaa,Finland,14189
APR,2017,Heraklion,Greece,3085
APR,2017,Katowice - Pyrzowice,Poland,2033
APR,2017,Kefallinia,Greece,168
APR,2017,Kerry - Farranfore,Ireland,355
APR,2017,Khania - Souda,Greece,1870
APR,2017,Kiev - Boryspil,Ukraine,6627
APR,2017,Kos,Greece,575
APR,2017,Krakow - Balice,Poland,4181
APR,2017,Lodz - Lublinek,Poland,357
APR,2017,London - City,United Kingdom,6359
APR,2017,London - Gatwick,United Kingdom,23726
APR,2017,London - Heathrow,United Kingdom,39657
APR,2017,London - Luton,United Kingdom,11268
APR,2017,London - Stansted,United Kingdom,15268
APR,2017,Londonderry - Eglinton,United Kingdom,74
APR,2017,Lublin,Poland,323
APR,2017,Maastricht-Aachen,Netherlands,693
APR,2017,Manchester,United Kingdom,16423
APR,2017,Mikonos,Greece,396
APR,2017,Olsztyn-Mazury,Poland,99
APR,2017,Oslo - Gardermoen,Norway,19977
APR,2017,Poznan - Lawica,Poland,1365
APR,2017,Radom,Poland,85
APR,2017,Rodos,Greece,1809
APR,2017,Rotterdam,Netherlands,2002
APR,2017,Rzeszow - Jasionka,Poland,567
APR,2017,Santorini,Greece,941
APR,2017,Shannon,Ireland,1663
APR,2017,Skiathos,Greece,60
APR,2017,Sligo,Ireland,4
APR,2017,Southampton,United Kingdom,3590
APR,2017,Stavanger,Norway,4913
APR,2017,Stockholm - Arlanda,Sweden,20458
APR,2017,Stockholm - Bromma,Sweden,4455
APR,2017,Szczecin - Goleniów,Poland,468
APR,2017,Thessaloniki,Greece,4263
APR,2017,Trondheim,Norway,4328
APR,2017,Warszawa - Chopina,Poland,13051
APR,2017,Warszawa - Modlin,Poland,1605
APR,2017,Waterford,Ireland,42
APR,2017,Weston,Ireland,102
APR,2017,Wroclaw - Strachowice,Poland,2061
APR,2017,Yerevan,Armenia,1683
APR,2017,Zakinthos,Greece,255
APR,2017,Zielona Gora - Babimost,Poland,54
APR,2018,Aberdeen,United Kingdom,4912
APR,2018,Aktion,Greece,127
APR,2018,Alesund,Norway,1229
APR,2018,Alta,Norway,737
APR,2018,Amsterdam - Schiphol,Netherlands,42796
APR,2018,Andenes,Norway,360
APR,2018,Athens,Greece,16097
APR,2018,Bardufoss,Norway,333
APR,2018,Batsfjord,Norway,186
APR,2018,Belfast - Aldergrove,United Kingdom,4056
APR,2018,Belfast - City Airport,United Kingdom,3038
APR,2018,Bergen,Norway,7019
APR,2018,Berlevåg,Norway,138
APR,2018,Biggin Hill,United Kingdom,1239
APR,2018,Birmingham,United Kingdom,8832
APR,2018,Bodø,Norway,3359
APR,2018,Bristol,United Kingdom,5650
APR,2018,Bronnoysund Bronnoy,Norway,591
APR,2018,Bydgoszcz,Poland,326
APR,2018,Connaught,Ireland,594
APR,2018,Corfu,Greece,1125
APR,2018,Cork,Ireland,1906
APR,2018,Donegal,Ireland,152
APR,2018,Dublin,Ireland,19489
APR,2018,East Midlands,United Kingdom,5586
APR,2018,Edinburgh,United Kingdom,11076
APR,2018,Farnborough,United Kingdom,2251
APR,2018,Florø,Norway,662
APR,2018,Forde Bringeland,Norway,338
APR,2018,Gdansk,Poland,3580
APR,2018,Glasgow,United Kingdom,7670
APR,2018,Groningen,Netherlands,1109
APR,2018,Göteborg,Sweden,6291
APR,2018,Hammerfest,Norway,904
APR,2018,Harstad - Narvik Evenes,Norway,858
APR,2018,Haugesund,Norway,546
APR,2018,Helsinki - Vantaa,Finland,15736
APR,2018,Heraklion,Greece,3193
APR,2018,Honningsvåg Valan,Norway,188
APR,2018,Katowice - Pyrzowice,Poland,2548
APR,2018,Kefallinia,Greece,211
APR,2018,Kerry - Farranfore,Ireland,359
APR,2018,Khania - Souda,Greece,1888
APR,2018,Kiev - Boryspil,Ukraine,7551
APR,2018,Kirkenes Høybuktmoen,Norway,622
APR,2018,Kos,Greece,583
APR,2018,Krakow - Balice,Poland,4767
APR,2018,Kristiansand Kjevik,Norway,1337
APR,2018,Kristiansund Kvernberget,Norway,913
APR,2018,Lakselv Banak,Norway,210
APR,2018,Leknes,Norway,544
APR,2018,Lelystad,Netherlands,392
APR,2018,Lodz - Lublinek,Poland,313
APR,2018,London - City,United Kingdom,6645
APR,2018,London - Gatwick,United Kingdom,23431
APR,2018,London - Heathrow,United Kingdom,40003
APR,2018,London - Luton,United Kingdom,11343
APR,2018,London - Stansted,United Kingdom,16703
APR,2018,Londonderry - Eglinton,United Kingdom,221
APR,2018,Lublin,Poland,399
APR,2018,Maastricht-Aachen,Netherlands,805
APR,2018,Manchester,United Kingdom,16112
APR,2018,Mehamn,Norway,217
APR,2018,Mikonos,Greece,505
APR,2018,Mo i Rana Røssvoll,Norway,451
APR,2018,Molde Årø,Norway,532
APR,2018,Mosjøen Kjærstad,Norway,330
APR,2018,Namsos Høknesøra,Norway,216
APR,2018,Newcastle,United Kingdom,3574
APR,2018,Olsztyn-Mazury,Poland,126
APR,2018,Orsta¿Volda Hovden,Norway,434
APR,2018,Oslo - Gardermoen,Norway,22388
APR,2018,Poznan - Lawica,Poland,1833
APR,2018,Radom,Poland,44
APR,2018,Rodos,Greece,1711
APR,2018,Roros,Norway,108
APR,2018,Rorvik Ryum,Norway,186
APR,2018,Rost,Norway,99
APR,2018,Rotterdam,Netherlands,2123
APR,2018,Rzeszow - Jasionka,Poland,778
APR,2018,Sandane  Anda,Norway,195
APR,2018,Sandnessjøen Stokka,Norway,359
APR,2018,Santorini,Greece,1221
APR,2018,Shannon,Ireland,1755
APR,2018,Skiathos,Greece,73
APR,2018,Sligo,Ireland,4
APR,2018,Sogndal Haukåsen,Norway,414
APR,2018,Sorkjosen,Norway,154
APR,2018,Southampton,United Kingdom,3247
APR,2018,Stavanger,Norway,5255
APR,2018,Stockholm - Arlanda,Sweden,21515
APR,2018,Stockholm - Bromma,Sweden,4734
APR,2018,Stokmarknes Skagen,Norway,557
APR,2018,Svalbard Longyear,Norway,280
APR,2018,Svolvær Helle,Norway,445
APR,2018,Szczecin - Goleniów,Poland,473
APR,2018,Thessaloniki,Greece,4334
APR,2018,Tromsø,Norway,3571
APR,2018,Trondheim,Norway,4567
APR,2018,Vadsø,Norway,545
APR,2018,Vardø Svartnes,Norway,202
APR,2018,Værøy,Norway,96
APR,2018,Warszawa - Chopina,Poland,14615
APR,2018,Warszawa - Modlin,Poland,1701
APR,2018,Waterford,Ireland,24
APR,2018,Weston,Ireland,83
APR,2018,Wroclaw - Strachowice,Poland,2459
APR,2018,Yerevan,Armenia,1900
APR,2018,Zakinthos,Greece,294
APR,2018,Zielona Gora - Babimost,Poland,88
APR,2019,Aberdeen,United Kingdom,4212
APR,2019,Aktion,Greece,115
APR,2019,Alesund,Norway,1082
APR,2019,Alta,Norway,623
APR,2019,Amsterdam - Schiphol,Netherlands,42924
APR,2019,Andenes,Norway,253
APR,2019,Athens,Greece,17274
APR,2019,Bardufoss,Norway,302
APR,2019,Batsfjord,Norway,178
APR,2019,Belfast - Aldergrove,United Kingdom,4321
APR,2019,Belfast - City Airport,United Kingdom,3063
APR,2019,Bergen,Norway,6660
APR,2019,Berlevåg,Norway,137
APR,2019,Biggin Hill,United Kingdom,1248
APR,2019,Birmingham,United Kingdom,8700
APR,2019,Bodø,Norway,2975
APR,2019,Bristol,United Kingdom,5400
APR,2019,Bronnoysund Bronnoy,Norway,576
APR,2019,Bydgoszcz,Poland,369
APR,2019,Connaught,Ireland,577
APR,2019,Corfu,Greece,1182
APR,2019,Cork,Ireland,2004
APR,2019,Donegal,Ireland,162
APR,2019,Dublin,Ireland,20293
APR,2019,East Midlands,United Kingdom,5532
APR,2019,Edinburgh,United Kingdom,11209
APR,2019,Farnborough,United Kingdom,2185
APR,2019,Florø,Norway,671
APR,2019,Forde Bringeland,Norway,321
APR,2019,Gdansk,Poland,3733
APR,2019,Glasgow,United Kingdom,6715
APR,2019,Groningen,Netherlands,1038
APR,2019,Göteborg,Sweden,5881
APR,2019,Hammerfest,Norway,790
APR,2019,Harstad - Narvik Evenes,Norway,769
APR,2019,Haugesund,Norway,474
APR,2019,Helsinki - Vantaa,Finland,15962
APR,2019,Heraklion,Greece,3433
APR,2019,Honningsvåg Valan,Norway,174
APR,2019,Katowice - Pyrzowice,Poland,2611
APR,2019,Kefallinia,Greece,245
APR,2019,Kerry - Farranfore,Ireland,352
APR,2019,Khania - Souda,Greece,1684
APR,2019,Kiev - Boryspil,Ukraine,8695
APR,2019,Kirkenes Høybuktmoen,Norway,615
APR,2019,Kos,Greece,750
APR,2019,Krakow - Balice,Poland,5094
APR,2019,Kristiansand Kjevik,Norway,1255
APR,2019,Kristiansund Kvernberget,Norway,657
APR,2019,Lakselv Banak,Norway,178
APR,2019,Leknes,Norway,476
APR,2019,Lelystad,Netherlands,387
APR,2019,Lodz - Lublinek,Poland,305
APR,2019,London - City,United Kingdom,7087
APR,2019,London - Gatwick,United Kingdom,24003
APR,2019,London - Heathrow,United Kingdom,40438
APR,2019,London - Luton,United Kingdom,11946
APR,2019,London - Stansted,United Kingdom,16710
APR,2019,Londonderry - Eglinton,United Kingdom,251
APR,2019,Lublin,Poland,263
APR,2019,Maastricht-Aachen,Netherlands,883
APR,2019,Manchester,United Kingdom,16544
APR,2019,Mehamn,Norway,181
APR,2019,Mikonos,Greece,707
APR,2019,Mo i Rana Røssvoll,Norway,438
APR,2019,Molde Årø,Norway,466
APR,2019,Mosjøen Kjærstad,Norway,275
APR,2019,Namsos Høknesøra,Norway,209
APR,2019,Newcastle,United Kingdom,3333
APR,2019,Olsztyn-Mazury,Poland,118
APR,2019,Orsta¿Volda Hovden,Norway,394
